,isochrone,center,area_m2,avg_stars,choice,no_truck_length,distance_pool,avg_housing_price,foreclosure_count,foreclosure_over_area
677,421010112004-1800-foot,"39.97173681016631,-75.23609421486252",20519123.78293888,3.3425925925925926,False,19281.72565243829,0.0,7248.0,266,1.2963516513369452e-05
678,421010112004-600-car,"39.97173681016631,-75.23609421486252",201930925.11382833,3.6093095080520627,True,117341.53015846446,0.0,8960.0,747,3.6992847904743494e-06
679,421010112004-1200-car,"39.97173681016631,-75.23609421486252",1058518846.0297265,3.650760827155677,True,727047.4345198998,0.0,10432.0,2518,2.37879562507977e-06
680,421010112004-1800-car,"39.97173681016631,-75.23609421486252",2973018508.5784163,3.624027002824275,True,922160.0487961059,0.0,12160.0,2847,9.57612605432896e-07
681,421010112004-600-pt,"39.97173681016631,-75.23609421486252",1879692.3508798,3.7,False,0.0,0.0,6416.0,29,1.5428056610660992e-05
682,421010112004-1200-pt,"39.97173681016631,-75.23609421486252",12065167.40955644,3.3636363636363638,False,14875.42340159718,0.0,7280.0,178,1.4753214270281223e-05
683,421010112004-1800-pt,"39.97173681016631,-75.23609421486252",40297019.64531075,3.446650124069479,True,36540.8238665571,0.0,8000.0,359,8.908847432387616e-06
720,421010112005-600-foot,"39.97467511274214,-75.2370336583654",2307302.9704377176,3.2857142857142856,False,5262.120819377757,0.0,7552.0,51,2.2103729182268947e-05
721,421010112005-1200-foot,"39.97467511274214,-75.2370336583654",9012216.927059466,3.1666666666666665,False,15859.42939599646,0.0,6944.0,139,1.5423508014176635e-05
722,421010112005-1800-foot,"39.97467511274214,-75.2370336583654",21179238.483072262,3.3823529411764706,False,21007.080064327547,0.0,7312.0,243,1.1473500342999603e-05
723,421010112005-600-car,"39.97467511274214,-75.2370336583654",207864383.80152953,3.5968396327140724,True,112106.22522368863,0.0,8800.0,749,3.6033109006069593e-06
724,421010112005-1200-car,"39.97467511274214,-75.2370336583654",1084595156.6858053,3.6482873527588344,True,739651.0109305294,0.0,10528.0,2554,2.3547956896693612e-06
725,421010112005-1800-car,"39.97467511274214,-75.2370336583654",2997824431.69562,3.623486099642169,True,926538.7315278138,0.0,12160.0,2849,9.503558546917831e-07
726,421010112005-600-pt,"39.97467511274214,-75.2370336583654",2027762.9113132877,3.1666666666666665,False,4322.37482823551,0.0,7504.0,45,2.219194352009111e-05
727,421010112005-1200-pt,"39.97467511274214,-75.2370336583654",12171420.446276655,3.343137254901961,True,17016.77230082612,0.0,6720.0,165,1.3556347077836339e-05
728,421010112005-1800-pt,"39.97467511274214,-75.2370336583654",40265100.504112,3.4492924528301887,True,36540.8238665571,0.0,8000.0,382,9.487123966348699e-06
765,421010113001-600-foot,"39.97968960208176,-75.23697827402157",1760329.5083517241,3.0416666666666665,False,10308.899809842915,0.0,9088.0,29,1.647418841893641e-05
766,421010113001-1200-foot,"39.97968960208176,-75.23697827402157",7655609.095695548,3.3207547169811322,False,13293.591368685107,0.0,9280.0,108,1.4107303370638949e-05
